Date,Open,High,Low,Close,Adj Close,Volume
2021-05-11,15253.320313,15255.889648,15006.730469,15119.750000,15119.750000,80129000
2021-05-12,15144.040039,15226.360352,15058.110352,15150.219727,15150.219727,79302600
2021-05-13,14967.799805,15235.889648,14816.349609,15199.679688,15199.679688,64374900
2021-05-14,15301.740234,15417.240234,15214.679688,15416.639648,15416.639648,69232200
2021-05-17,15432.339844,15482.230469,15353.660156,15396.620117,15396.620117,67787000
2021-05-18,15514.719727,15538.009766,15344.099609,15386.580078,15386.580078,65843300
2021-05-19,15238.820313,15266.530273,14961.269531,15113.559570,15113.559570,75858000
2021-05-20,15207.320313,15370.259766,15102.349609,15370.259766,15370.259766,65602300
2021-05-21,15411.030273,15467.190430,15364.429688,15437.509766,15437.509766,70065600
2021-05-25,15548.290039,15568.599609,15465.089844,15465.089844,15465.089844,92981200
2021-05-26,15520.440430,15541.860352,15407.480469,15450.719727,15450.719727,58668800
2021-05-27,15419.200195,15490.059570,15350.669922,15406.730469,15406.730469,119417800
2021-05-28,15443.139648,15548.719727,15435.740234,15519.980469,15519.980469,56862000
2021-05-31,15496.480469,15499.639648,15414.379883,15421.129883,15421.129883,36495900
2021-06-01,15513.129883,15685.400391,15512.360352,15567.360352,15567.360352,56073600
2021-06-02,15570.769531,15631.019531,15554.019531,15602.709961,15602.709961,51678400
2021-06-03,15591.540039,15657.150391,15477.320313,15632.669922,15632.669922,45339500
2021-06-04,15651.690430,15705.889648,15607.919922,15692.900391,15692.900391,44669100
2021-06-07,15661.580078,15732.059570,15614.179688,15677.150391,15677.150391,46954400
2021-06-08,15674.410156,15727.230469,15638.320313,15640.599609,15640.599609,54921800
2021-06-09,15642.740234,15669.139648,15505.150391,15581.139648,15581.139648,50364800
2021-06-10,15610.080078,15637.940430,15513.360352,15571.219727,15571.219727,56997400
2021-06-11,15583.290039,15703.839844,15548.349609,15693.269531,15693.269531,57088600
2021-06-14,15739.889648,15802.669922,15673.639648,15673.639648,15673.639648,46556300
2021-06-15,15744.769531,15792.349609,15714.940430,15729.519531,15729.519531,45999200
2021-06-16,15756.830078,15759.660156,15674.610352,15710.570313,15710.570313,58585900
2021-06-17,15655.320313,15752.339844,15649.219727,15727.669922,15727.669922,62355100
2021-06-18,15720.519531,15736.929688,15426.759766,15448.040039,15448.040039,126347100
2021-06-21,15391.500000,15606.570313,15309.440430,15603.240234,15603.240234,61783600
2021-06-22,15587.570313,15652.750000,15518.309570,15636.330078,15636.330078,53060800
2021-06-23,15674.330078,15675.900391,15456.389648,15456.389648,15456.389648,50468000
2021-06-24,15528.549805,15606.889648,15476.669922,15589.230469,15589.230469,52474600
2021-06-25,15584.900391,15612.660156,15533.400391,15607.969727,15607.969727,46613700
2021-06-28,15570.799805,15668.080078,15542.169922,15554.179688,15554.179688,43947600
2021-06-29,15565.830078,15752.929688,15555.490234,15690.589844,15690.589844,50284300
2021-06-30,15700.059570,15709.339844,15461.200195,15531.040039,15531.040039,63950700
2021-07-01,15624.280273,15708.780273,15488.490234,15603.809570,15603.809570,49570300
2021-07-02,15644.839844,15705.530273,15616.429688,15650.089844,15650.089844,43114700
2021-07-05,15628.419922,15673.879883,15535.290039,15661.969727,15661.969727,29752900
2021-07-06,15615.070313,15647.879883,15466.660156,15511.379883,15511.379883,53759400
2021-07-07,15606.940430,15700.950195,15604.580078,15692.709961,15692.709961,59732200
2021-07-08,15584.719727,15591.650391,15304.410156,15420.639648,15420.639648,78813200
2021-07-09,15497.929688,15687.929688,15479.440430,15687.929688,15687.929688,60460900
2021-07-12,15675.419922,15806.900391,15631.839844,15790.509766,15790.509766,47460900
2021-07-13,15769.509766,15806.570313,15747.570313,15789.639648,15789.639648,50047700
2021-07-14,15733.190430,15810.679688,15717.830078,15788.980469,15788.980469,41145400
2021-07-15,15737.360352,15737.360352,15592.009766,15629.660156,15629.660156,62684900
2021-07-16,15682.750000,15699.929688,15476.990234,15540.309570,15540.309570,60314700
2021-07-19,15420.139648,15423.839844,15048.559570,15133.200195,15133.200195,85990500
2021-07-20,15234.849609,15300.290039,15091.900391,15216.269531,15216.269531,60029200
2021-07-21,15239.919922,15443.759766,15194.540039,15422.500000,15422.500000,65073800
2021-07-22,15533.219727,15578.750000,15471.469727,15514.540039,15514.540039,50331400
2021-07-23,15603.690430,15681.410156,15583.650391,15669.290039,15669.290039,54897600
2021-07-26,15586.660156,15641.610352,15544.940430,15618.980469,15618.980469,38643700
2021-07-27,15537.889648,15586.900391,15423.559570,15519.129883,15519.129883,44081200
2021-07-28,15538.750000,15577.129883,15497.099609,15570.360352,15570.360352,56569500
2021-07-29,15608.820313,15659.219727,15563.650391,15640.469727,15640.469727,51559500
2021-07-30,15493.740234,15613.660156,15440.889648,15544.389648,15544.389648,61343800
2021-08-02,15631.700195,15702.889648,15511.250000,15568.730469,15568.730469,53799800
2021-08-03,15537.690430,15608.070313,15492.580078,15555.080078,15555.080078,50024700
2021-08-04,15653.650391,15712.269531,15600.799805,15692.129883,15692.129883,54854200
2021-08-05,15691.740234,15751.879883,15672.269531,15744.669922,15744.669922,61559300
2021-08-06,15770.849609,15808.240234,15737.099609,15761.450195,15761.450195,52191600
2021-08-09,15773.509766,15798.509766,15699.269531,15745.410156,15745.410156,41278000
2021-08-10,15734.139648,15802.150391,15733.650391,15770.709961,15770.709961,37936600
2021-08-11,15792.120117,15887.160156,15724.990234,15826.089844,15826.089844,46983300
2021-08-12,15829.269531,15964.379883,15823.530273,15937.509766,15937.509766,53018500
2021-08-13,15948.150391,16030.330078,15940.820313,15977.440430,15977.440430,39905200
2021-08-16,15875.700195,15961.179688,15851.280273,15925.730469,15925.730469,44305900
2021-08-17,15872.120117,15937.469727,15811.570313,15921.950195,15921.950195,46077200
2021-08-18,15935.209961,15969.849609,15872.990234,15965.969727,15965.969727,45355100
2021-08-19,15737.179688,15804.849609,15621.980469,15765.809570,15765.809570,64752400
2021-08-20,15734.679688,15808.040039,15656.280273,15808.040039,15808.040039,49982700
2021-08-23,15930.719727,15930.719727,15799.589844,15852.790039,15852.790039,39880400
2021-08-24,15897.860352,15918.719727,15856.049805,15905.849609,15905.849609,42750500
2021-08-25,15912.849609,15932.620117,15853.320313,15860.660156,15860.660156,35537700
2021-08-26,15773.709961,15834.910156,15701.849609,15793.620117,15793.620117,39681200
2021-08-27,15778.919922,15859.769531,15752.089844,15851.750000,15851.750000,32126500
2021-08-30,15856.709961,15896.730469,15847.660156,15887.309570,15887.309570,27220800
2021-08-31,15929.259766,16006.759766,15761.570313,15835.089844,15835.089844,75099900
2021-09-01,15958.410156,15981.700195,15773.440430,15824.290039,15824.290039,53324100
2021-09-02,15813.570313,15874.669922,15810.769531,15840.589844,15840.589844,37299100
2021-09-03,15841.450195,15868.690430,15690.019531,15781.200195,15781.200195,40901200
2021-09-06,15818.440430,15959.740234,15814.629883,15932.120117,15932.120117,31915300
2021-09-07,15896.559570,15927.769531,15826.860352,15843.089844,15843.089844,45060200
2021-09-08,15714.610352,15755.299805,15590.410156,15610.280273,15610.280273,62575800
2021-09-09,15499.450195,15693.219727,15453.959961,15623.150391,15623.150391,54613000
2021-09-10,15648.889648,15702.599609,15574.940430,15609.809570,15609.809570,55580900
2021-09-13,15681.169922,15787.660156,15674.160156,15701.419922,15701.419922,50515500
2021-09-14,15697.719727,15763.580078,15663.419922,15722.990234,15722.990234,51343400
2021-09-15,15731.480469,15740.009766,15613.719727,15616.000000,15616.000000,58969400
2021-09-16,15666.629883,15745.190430,15638.230469,15651.750000,15651.750000,54362800
2021-09-17,15774.570313,15791.900391,15455.540039,15490.169922,15490.169922,158392800
2021-09-20,15259.500000,15262.759766,15019.490234,15132.059570,15132.059570,96690100
2021-09-21,15265.030273,15394.330078,15205.700195,15348.530273,15348.530273,61546200
2021-09-22,15463.240234,15508.419922,15378.929688,15506.740234,15506.740234,54135200
2021-09-23,15630.009766,15695.650391,15593.719727,15643.969727,15643.969727,54651300
2021-09-24,15562.139648,15573.459961,15497.169922,15531.750000,15531.750000,49967000
2021-09-27,15699.009766,15704.049805,15552.089844,15573.879883,15573.879883,59034800
2021-09-28,15542.030273,15542.410156,15232.969727,15248.559570,15248.559570,75174800
2021-09-29,15357.000000,15422.750000,15301.349609,15365.269531,15365.269531,56303700
2021-09-30,15434.330078,15448.519531,15246.000000,15260.690430,15260.690430,74664500
2021-10-01,15041.599609,15262.750000,14983.799805,15156.440430,15156.440430,66029600
2021-10-04,15061.860352,15175.250000,15016.929688,15036.549805,15036.549805,52650700
2021-10-05,15055.400391,15202.200195,15011.440430,15194.490234,15194.490234,60532800
2021-10-06,15040.099609,15049.490234,14818.709961,14973.330078,14973.330078,96189400
2021-10-07,15162.750000,15253.290039,15116.469727,15250.860352,15250.860352,76332700
2021-10-08,15242.759766,15267.919922,15184.759766,15206.129883,15206.129883,59531300
2021-10-11,15115.459961,15202.740234,15094.440430,15199.139648,15199.139648,75309100
2021-10-12,15025.349609,15174.290039,15012.070313,15146.870117,15146.870117,60955500
2021-10-13,15130.799805,15302.429688,15109.610352,15249.379883,15249.379883,69662700
2021-10-14,15350.719727,15464.379883,15303.389648,15462.719727,15462.719727,60002700
2021-10-15,15481.219727,15598.580078,15465.929688,15587.360352,15587.360352,73666300
2021-10-18,15518.589844,15542.169922,15416.019531,15474.469727,15474.469727,49463100
2021-10-19,15510.990234,15527.969727,15457.429688,15515.830078,15515.830078,49579400
2021-10-20,15473.559570,15567.070313,15465.030273,15522.919922,15522.919922,54739200
2021-10-21,15408.799805,15532.940430,15406.589844,15472.559570,15472.559570,54649400
2021-10-22,15507.990234,15614.759766,15492.290039,15542.980469,15542.980469,49948500
2021-10-25,15580.580078,15618.879883,15531.950195,15599.230469,15599.230469,51296300
2021-10-26,15652.910156,15781.000000,15650.349609,15757.059570,15757.059570,56055900
2021-10-27,15725.400391,15744.790039,15671.589844,15705.809570,15705.809570,73429300
2021-10-28,15681.519531,15706.389648,15629.330078,15696.330078,15696.330078,78877800
2021-10-29,15579.900391,15689.660156,15495.509766,15688.769531,15688.769531,80569400
2021-11-01,15764.549805,15849.400391,15760.349609,15806.290039,15806.290039,49160900
2021-11-02,15825.269531,15960.209961,15824.110352,15954.450195,15954.450195,60596100
2021-11-03,15957.150391,15972.709961,15922.099609,15959.980469,15959.980469,74344600
2021-11-04,16035.900391,16064.790039,15997.629883,16029.650391,16029.650391,76262400
2021-11-05,16011.570313,16084.900391,16008.400391,16054.360352,16054.360352,75298200
2021-11-08,16040.849609,16068.730469,16016.200195,16046.519531,16046.519531,48903600
2021-11-09,16026.740234,16104.129883,16022.639648,16040.469727,16040.469727,61428000
2021-11-10,16053.000000,16076.559570,15985.900391,16067.830078,16067.830078,62124400
2021-11-11,16067.339844,16114.549805,16032.500000,16083.110352,16083.110352,56626200
2021-11-12,16100.080078,16122.759766,16065.059570,16094.070313,16094.070313,60302900
2021-11-15,16109.410156,16149.870117,16072.290039,16148.639648,16148.639648,53296600
2021-11-16,16174.309570,16266.259766,16157.580078,16247.860352,16247.860352,56783300
2021-11-17,16248.320313,16283.519531,16240.509766,16251.129883,16251.129883,54131500
2021-11-18,16262.290039,16290.190430,16193.339844,16221.730469,16221.730469,57887500
2021-11-19,16269.219727,16282.870117,16092.629883,16159.969727,16159.969727,105496400
2021-11-22,16188.540039,16202.769531,16090.540039,16115.690430,16115.690430,65473700
2021-11-23,15987.200195,16054.379883,15866.009766,15937.000000,15937.000000,91000000
2021-11-24,15942.280273,15974.299805,15740.599609,15878.389648,15878.389648,87886600
2021-11-25,15928.379883,15962.540039,15865.410156,15917.980469,15917.980469,57275800
2021-11-26,15383.900391,15540.290039,15244.459961,15257.040039,15257.040039,133308100
2021-11-29,15418.280273,15441.910156,15237.870117,15280.860352,15280.860352,95660000
2021-11-30,15117.629883,15280.040039,15015.419922,15100.129883,15100.129883,152644300
2021-12-01,15233.370117,15509.459961,15187.089844,15472.669922,15472.669922,86134400
2021-12-02,15300.730469,15373.519531,15172.900391,15263.110352,15263.110352,93605500
2021-12-03,15422.900391,15422.900391,15101.709961,15169.980469,15169.980469,80653400
2021-12-06,15323.200195,15415.459961,15150.540039,15380.790039,15380.790039,74842900
2021-12-07,15546.700195,15827.940430,15544.790039,15813.940430,15813.940430,86195400
